"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2024","43,099.0","42,508.0","43,429.0","42,107.0","0.71K","1.39%"
"01/15/2024","42,508.0","41,737.0","43,359.0","41,705.0","0.93K","1.85%"
"01/14/2024","41,737.0","42,847.0","43,075.0","41,719.0","1.10K","-2.59%"
"01/13/2024","42,847.0","42,831.0","43,250.0","42,441.0","1.04K","0.04%"
"01/12/2024","42,831.0","46,377.0","46,508.0","41,574.0","3.78K","-7.65%"
"01/11/2024","46,377.0","46,636.0","48,750.0","45,650.0","5.42K","-0.56%"
"01/10/2024","46,636.0","46,113.0","47,572.0","44,352.0","5.05K","1.13%"
"01/09/2024","46,113.0","46,941.0","47,845.0","45,133.0","3.87K","-1.76%"
"01/08/2024","46,941.0","43,960.0","47,205.0","43,244.0","3.83K","6.78%"
"01/07/2024","43,960.0","44,005.0","44,500.0","43,638.0","0.57K","-0.10%"
"01/06/2024","44,005.0","44,189.0","44,263.0","43,461.0","0.74K","-0.42%"
"01/05/2024","44,189.0","44,221.0","44,415.0","42,746.0","1.89K","-0.07%"
"01/04/2024","44,221.0","42,869.0","44,798.0","42,673.0","1.85K","3.15%"
"01/03/2024","42,869.0","44,991.0","45,559.0","40,499.0","4.19K","-4.72%"
"01/02/2024","44,991.0","44,175.0","45,892.0","44,175.0","3.10K","1.85%"
"01/01/2024","44,175.0","42,323.0","44,190.0","42,232.0","1.16K","4.38%"
"12/31/2023","42,323.0","42,199.0","42,938.0","42,023.0","0.66K","0.29%"
"12/30/2023","42,199.0","42,139.0","42,664.0","41,585.0","0.67K","0.14%"
"12/29/2023","42,139.0","42,617.0","43,168.0","41,433.0","1.64K","-1.12%"
"12/28/2023","42,617.0","43,476.0","43,793.0","42,388.0","1.09K","-1.98%"
"12/27/2023","43,476.0","42,568.0","43,666.0","42,178.0","1.02K","2.13%"
"12/26/2023","42,568.0","43,641.0","43,649.0","41,772.0","1.99K","-2.46%"
"12/25/2023","43,641.0","43,026.0","43,880.0","42,784.0","0.84K","1.43%"
"12/24/2023","43,026.0","43,801.0","43,975.0","42,700.0","0.79K","-1.77%"
"12/23/2023","43,801.0","44,038.0","44,068.0","43,342.0","0.66K","-0.54%"
"12/22/2023","44,038.0","43,890.0","44,444.0","43,480.0","0.99K","0.34%"
"12/21/2023","43,890.0","43,662.0","44,250.0","43,363.0","1.17K","0.52%"
"12/20/2023","43,662.0","42,315.0","44,336.0","42,245.0","2.18K","3.18%"
"12/19/2023","42,315.0","42,672.0","43,429.0","41,850.0","0.96K","-0.84%"
"12/18/2023","42,672.0","41,406.0","42,753.0","40,556.0","1.46K","3.06%"
"12/17/2023","41,406.0","42,328.0","42,442.0","41,304.0","1.11K","-2.18%"
"12/16/2023","42,328.0","41,961.0","42,746.0","41,714.0","0.65K","0.87%"
