Date,Number of flights,Seven-day average,Notes
01/02/2019,5147,[x],
01/03/2019,5518,[x],
01/04/2019,5588,[x],
01/05/2019,4798,[x],
01/06/2019,5329,[x],
01/07/2019,5288,[x],
01/08/2019,4670,5191,
01/09/2019,4702,5128,
01/10/2019,5056,5062,
01/11/2019,5330,5025,
01/12/2019,4227,4943,
01/13/2019,4848,4874,
01/14/2019,5147,4854,
01/15/2019,4596,4844,
01/16/2019,4625,4833,
01/17/2019,5068,4834,
01/18/2019,5426,4848,
01/19/2019,4172,4840,
01/20/2019,4929,4852,
01/21/2019,5167,4855,
01/22/2019,4550,4848,
01/23/2019,4611,4846,
01/24/2019,5089,4849,
01/25/2019,5444,4852,
01/26/2019,4215,4858,
01/27/2019,4899,4854,
01/28/2019,5252,4866,
01/29/2019,4638,4878,
01/30/2019,4686,4889,
01/31/2019,5026,4880,
02/01/2019,5182,4843,
02/02/2019,4362,4864,
02/03/2019,5044,4884,
02/04/2019,5262,4886,
02/05/2019,4767,4904,
02/06/2019,4867,4930,
02/07/2019,5363,4978,
02/08/2019,5508,5025,
02/09/2019,4499,5044,
02/10/2019,5098,5052,
02/11/2019,5475,5082,
02/12/2019,5046,5122,
02/13/2019,5035,5146,
02/14/2019,5548,5173,
02/15/2019,5961,5237,
02/16/2019,5054,5317,
02/17/2019,5290,5344,
02/18/2019,5529,5352,
02/19/2019,5154,5367,
02/20/2019,5026,5366,
02/21/2019,5527,5363,
02/22/2019,5611,5313,
02/23/2019,4981,5303,
02/24/2019,5692,5360,
02/25/2019,5621,5373,
02/26/2019,5200,5380,
02/27/2019,5122,5393,
02/28/2019,5569,5399,
03/01/2019,5818,5429,
03/02/2019,4657,5383,
03/03/2019,5144,5304,
03/04/2019,5590,5300,
03/05/2019,5140,5291,
03/06/2019,5112,5290,
03/07/2019,5581,5292,
03/08/2019,5833,5294,
03/09/2019,4621,5289,
03/10/2019,5184,5294,
03/11/2019,5693,5309,
03/12/2019,5089,5302,
03/13/2019,5076,5297,
03/14/2019,5583,5297,
03/15/2019,5883,5304,
03/16/2019,4673,5312,
03/17/2019,5324,5332,
03/18/2019,5693,5332,
03/19/2019,5209,5349,
03/20/2019,5182,5364,
03/21/2019,5665,5376,
03/22/2019,5891,5377,
03/23/2019,4670,5376,
03/24/2019,5313,5375,
03/25/2019,5621,5364,
03/26/2019,5233,5368,
03/27/2019,5243,5377,
03/28/2019,5709,5383,
03/29/2019,5985,5396,
03/30/2019,4788,5413,
03/31/2019,5361,5420,
04/01/2019,6058,5482,
04/02/2019,5832,5568,
04/03/2019,5915,5664,
04/04/2019,6078,5717,
04/05/2019,6288,5760,
04/06/2019,5353,5841,
04/07/2019,5710,5891,
04/08/2019,6125,5900,
04/09/2019,5946,5916,
04/10/2019,6064,5938,
04/11/2019,6198,5955,
04/12/2019,6372,5967,
04/13/2019,5367,5969,
04/14/2019,5761,5976,
04/15/2019,6119,5975,
04/16/2019,5930,5973,
04/17/2019,5989,5962,
04/18/2019,6268,5972,
04/19/2019,5859,5899,
04/20/2019,5174,5871,
04/21/2019,5555,5842,
04/22/2019,5903,5811,
04/23/2019,5999,5821,
04/24/2019,5983,5820,
04/25/2019,6106,5797,
04/26/2019,6253,5853,
04/27/2019,5172,5853,
04/28/2019,5677,5870,
04/29/2019,6201,5913,
04/30/2019,6085,5925,
05/01/2019,6157,5950,
05/02/2019,6396,5992,
05/03/2019,6677,6052,
05/04/2019,5474,6095,
05/05/2019,5900,6127,
05/06/2019,6076,6109,
05/07/2019,6373,6150,
05/08/2019,6286,6169,
05/09/2019,6207,6142,
05/10/2019,6672,6141,
05/11/2019,5601,6159,
05/12/2019,6121,6191,
05/13/2019,6457,6245,
05/14/2019,6284,6233,
05/15/2019,6331,6239,
05/16/2019,6509,6282,
05/17/2019,6632,6276,
05/18/2019,5686,6289,
05/19/2019,6007,6272,
05/20/2019,6644,6299,
05/21/2019,6258,6295,
05/22/2019,6498,6319,
05/23/2019,6702,6347,
05/24/2019,7089,6412,
05/25/2019,6003,6457,
05/26/2019,6175,6481,
05/27/2019,6445,6453,
05/28/2019,6589,6500,
05/29/2019,6618,6517,
05/30/2019,6745,6523,
05/31/2019,6970,6506,
06/01/2019,6130,6525,
06/02/2019,6747,6606,
06/03/2019,6819,6660,
06/04/2019,6654,6669,
06/05/2019,6765,6690,
06/06/2019,6896,6712,
06/07/2019,6915,6704,
06/08/2019,5978,6682,
06/09/2019,6283,6616,
06/10/2019,6762,6608,
06/11/2019,6653,6607,
06/12/2019,6608,6585,
06/13/2019,6953,6593,
06/14/2019,7015,6607,
06/15/2019,5998,6610,
06/16/2019,6445,6633,
06/17/2019,6934,6658,
06/18/2019,6684,6662,
06/19/2019,6745,6682,
06/20/2019,6995,6688,
